                                    QX( 2)  Manderfield outflow                                                          PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN
           1992   1176.   1186.    952.    893.    893.   1228.   3275.   6301.   4657.   1843.   1714.   1236.    25354.
           1993   1160.   1110.    980.   1020.    950.   1680.   3470.  14430.  11690.   5290.   3050.   1630.    46460.
           1994   1339.   1139.   1192.   1107.   1004.   1424.   2396.   5540.   4784.   1954.   1454.   1111.    24444.
           1995   1450.   1280.   1010.   1040.   1250.   2000.   2740.   7950.  21880.  11790.   4390.   2710.    59490.
           1996   1728.   1515.   1377.   1260.   1242.   1367.   2481.   6206.   4465.   2053.   1379.   1137.    26210.
           1997   1090.   1100.   1070.   1110.   1000.   1730.   2780.  14730.  11760.   5300.   3140.   2530.    47340.
           1998   2090.   1690.   1330.   1170.   1140.   1660.   2770.  12070.  18100.   9270.   4810.   3280.    59380.
           1999   1989.   1775.   1500.   1335.   1172.   1559.   1888.   7416.   8465.   4828.   3275.   1660.    36862.
           2000   1515.   1365.   1204.   1184.   1103.   1359.   2997.   5869.   3870.   1795.   1379.   1075.    24715.
           2001   1208.   1188.   1109.   1021.    942.   1410.   2471.   8257.   4986.   3358.   1817.   1305.    29072.
           2002   1218.   1176.   1164.   1150.    877.   1067.   1894.   2418.   1456.   1206.    829.    863.    15318.
           2003   1077.   1095.    920.    922.    807.   1045.   1831.   6224.   5623.   2987.   1684.   1216.    25431.
           2004    966.    936.    992.    974.    956.   1640.   2898.   6123.   3933.   1515.   1139.    998.    23070.
           2005   1140.   1230.   1160.   1080.   1030.   1210.   2720.  17210.  26630.  10520.   4410.   2550.    70890.
           2006   1956.   1851.   1741.   1636.   1676.   1412.   3104.   9090.   4746.   2684.   1418.   1252.    32566.
           2007   1519.   1254.   1208.   1436.   1331.   1694.   2388.   4568.   1987.   1202.   1095.    944.    20626.
           2008    964.    912.    859.    887.    865.   1091.   1847.   5064.   5304.   3542.   1329.   1014.    23678.
           2009   1090.   1020.    940.    970.   1000.   1490.   3090.  11250.   4700.   3720.   2210.   1140.    32620.

          +AVE.   1426.   1304.   1173.   1106.   1014.   1414.   2857.   9272.   9796.   4342.   2553.   1615.    37872.


          +   AVE. GIVEN FOR YEARS OF CONCURRENT DATA WITH CORRELATED STATION
                                    QX( 2)  Manderfield outflow                                                          PAGE  4

           R      0.332   0.451   0.201   0.256   0.146   0.383   0.339   0.796   0.803   0.325   0.811   0.401               0.287
           A   -.12E+04-.30E+04-.32E+04-.29E+04-.34E+04-.22E+04-.16E+040.35E+040.39E+04-.99E+03-.67E+03-.19E+04           0.157E+05
           B   0.13E+010.21E+010.28E+010.29E+010.35E+010.15E+010.64E+00-.41E+00-.43E+000.52E+000.88E+000.17E+01          -0.306E+00

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       SUM       ANN

          *1915   2154.    676.   1299.   1241.    908.    294.   1452.      0.      0.   1271.   1317.   1129.    11741.     1710.
