                        09271000 ASHLEY C, SIGN OF THE MAINE, NR VERNAL, UTAH                                            PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN
           1959   2071.   1734.   1638.   1269.   1202.   1168.   1081.  10147.  10663.   5762.   3669.   2406.    42810.    42810.
           1960   2229.   1801.   1273.   1057.    928.   1077.   3598.  14811.  11625.   5314.   1910.   1055.    46678.    46678.
           1961   1494.   1339.   1125.    988.    855.    829.    946.  16288.  17685.   6609.   4550.   5627.    58335.    58335.
           1962   6540.   4460.   2780.   1950.   1650.   1950.  10370.  38940.  40110.  12780.   6800.   4170.   132500.   132500.
           1963   2896.   1412.   1148.    966.    795.    871.    776.  19855.   8705.   5157.   2569.   2908.    48058.    48058.
           1964   2795.   1686.   1424.   1345.   1190.   1142.   1004.  28399.  23544.   8876.   4913.   3291.    79609.    79609.
           1965   2430.   1700.   1510.   1350.   1090.   1210.   1420.  18400.  73500.  19540.  10510.   7260.   139920.   139920.
          *1966   1160.   1152.    716.    498.    171.    149.  15901.  63857.   8879.   8341.   4262.   3867.   108952.    76944.
          *1967   6632.  10479.   2001.   1972.   1493.   1342.    765.  25758.  55471.  17143.   9507.   5733.   138296.   146236.
          *1968  13196.  18943.   9024.   7986.   2222.   3192.    501.   1650.  87748.  12859.   9349.   6046.   172716.   139424.
          *1969   7094.   8162.   6310.   5012.   3812.   4431.   6378. 418689.  22990.  11720.   7990.   4658.   507245.   130500.
          *1970   3132.   2104.   4599.   6392.   4628.   7514.    264.  16676.  28409.  12782.   8084.   6243.   100825.    97014.
          *1971   7864.   7640.   4207.   2316.   1337.   2870.    623.   5383.  46687.  11964.   7214.   3647.   101752.    97643.
          *1972  11480.   5915.   2116.   2545.   2746.    155.   1386.  40789.  32672.   9341.   4780.   3284.   117209.    89756.
          *1973   1806.   1131.    343.    549.    709.   2583.   1102.  97061.  53300.  12557.   8010.   5078.   184229.   153898.
          *1974   8068.   4027.   3094.   1941.   1301.   2556.    274.   8445.   5160.   4503.   2288.   1978.    43634.    30708.
          *1975  21457.  24781.  30159.  22363.  18037.  18929.    144.    438.  86590.  30757.   7777.   4628.   266060.   168184.
          *1976  18592.  22218.  15057.  20822.  13873.  26486.    241.  30686.  16510.   8213.   4800.   2644.   180143.    57920.
          *1977  14173.  17255.  29244.  60217. 115736.  50963.    775.     93.   9555.   4911.   4377.   3255.   310554.    26096.
          *1978  20594.  36593.  31524.  30491.  28235.   3461.    733.   2567.  34142.   8552.   4423.   2513.   203828.    60748.
          *1979  56276.  35946.  19594.  18184.  30535.  23914.    946.  28603.  12286.   7747.   4551.   2445.   241028.    50534.
          *1980  19660.  16648.  11733.  21167.  13481.  28372.   1514.   5401.  66572.  11476.   5668.   3489.   205179.   107046.
          *1981   3218.   4853.   3613.   4192.   2356.   4712.   9307.  19223.  13934.   6386.   5364.   2743.    79901.    59995.
          *1982   4971.   3301.   1938.   6392.   3628.   4168.    914.  30088.  36558.  12730.   6316.   8832.   119839.   114298.
          *1983    147.    441.    264.    169.    271.    309.    945.   3552. 152095.  26060.   8710.   4295.   197256.   286630.
          *1984    483.    541.    603.   1807.    146.    212.   2180. 115209.  17455.   9757.  12965.   8183.   169540.   128800.
          *1985   1449.   3124.  12671.   3709.   1485.    622.  35398.  50980.   9924.   9589.   6124.   7785.   142859.    86797.
          *1986   5752.   1698.   3816.   5489.    226.     67.  11044. 183925.  71652.  10400.   7424.   4500.   305992.   178048.
